"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Developer"
"2570","Final Fantasy X / X-2 HD Remaster","PSV",2013,"Role-Playing","Square Enix",0.16,0.24,0.28,0.12,0.8,"Virtuos"
"2572","Need for Speed: Hot Pursuit 2","GC",2002,"Racing","Electronic Arts",0.68,0.09,0,0.02,0.8,"EA Seattle"
"2574","Hasbro Family Game Night 3","Wii",2010,"Misc","Electronic Arts",0.46,0.27,0,0.07,0.8,"Electronic Arts"
"2577","Rayman Raving Rabbids 2","DS",2007,"Misc","Ubisoft",0.73,0.01,0,0.06,0.8,"Ubisoft Paris"
"2578","The Sims 2: Pets","PSP",2006,"Simulation","Electronic Arts",0.19,0.38,0,0.22,0.79,"Maxis"
"2580","Dragon Ball Z: Budokai Tenkaichi 2","PS2",2006,"Fighting","Atari",0.66,0.02,0,0.11,0.79,"Spike"
"2581","Guitar Hero: Aerosmith","PS2",2008,"Misc","Activision",0.61,0,0,0.18,0.79,"BudCat"
"2582","Star Wars The Clone Wars: Republic Heroes","Wii",2009,"Action","LucasArts",0.43,0.29,0,0.07,0.79,"Krome Studios"
"2584","pro evolution soccer 2011","PSP",2010,"Sports","Konami Digital Entertainment",0.05,0.3,0.29,0.16,0.79,"Konami"
"2585","Harvest Moon: A Wonderful Life","GC",2003,"Role-Playing","Ubisoft",0.61,0.16,0,0.02,0.79,"Marvelous"
"2586","All Star Cheer Squad","Wii",2008,"Sports","THQ",0.43,0.29,0,0.08,0.79,"Gorilla Games"
"2588","DmC: Devil May Cry","PS3",2013,"Action","Capcom",0.24,0.26,0.19,0.1,0.79,"Ninja Theory"
"2589","Motocross Mania","PS",2001,"Racing","Take-Two Interactive",0.44,0.3,0,0.05,0.79,"Deibus Studios"
"2590","EA Sports Active NFL Training Camp","Wii",2010,"Sports","Electronic Arts",0.75,0,0,0.05,0.79,"EA Sports"
"2591","Darksiders II","X360",2012,"Action","THQ",0.45,0.27,0,0.07,0.79,"Vigil Games"
"2592","Need for Speed Rivals","X360",2013,"Racing","Electronic Arts",0.37,0.35,0.01,0.07,0.79,"Ghost Games"
"2593","[Prototype 2]","X360",2012,"Action","Activision",0.48,0.24,0,0.07,0.79,"Radical Entertainment"
"2596","Dance Dance Revolution SuperNOVA 2","PS2",2007,"Simulation","Konami Digital Entertainment",0.64,0.03,0.02,0.1,0.79,"Konami"
"2597","Armored Core 2","PS2",2000,"Simulation","Ubisoft",0.28,0.22,0.23,0.07,0.79,"From Software"
"2599","The Godfather II","X360",2009,"Action","Electronic Arts",0.47,0.23,0.01,0.08,0.79,"EA Redwood Shores"
"2600","Dragon's Dogma","X360",2012,"Role-Playing","Capcom",0.42,0.23,0.07,0.06,0.79,"Capcom"
"2601","Pro Evolution Soccer 2016","PS4",2015,"Sports","Konami Digital Entertainment",0.13,0.42,0.13,0.1,0.79,"Konami"
"2604","Rare Replay","XOne",2015,"Misc","Microsoft Game Studios",0.49,0.22,0.01,0.07,0.79,"Rare Ltd."
"2605","Band Hero","X360",2009,"Misc","Activision",0.51,0.21,0,0.07,0.79,"Neversoft Entertainment"
"2606","NCAA Football 08","PS2",2007,"Sports","Electronic Arts",0.65,0.03,0,0.11,0.79,"EA Tiburon"
"2607","FIFA Soccer 2004","XB",2003,"Sports","Electronic Arts",0.24,0.49,0,0.05,0.79,"EA Canada"
"2608","The Sims 2: Castaway","PSP",2007,"Simulation","Electronic Arts",0.08,0.46,0,0.25,0.79,"Maxis"
"2609","Star Ocean: The Last Hope","X360",2009,"Role-Playing","Square Enix",0.32,0.2,0.21,0.06,0.79,"Square Enix, Tri-Ace"
"2610","Sniper: Ghost Warrior","PS3",2011,"Shooter","City Interactive",0.27,0.34,0.04,0.13,0.79,"City Interactive"
"2611","Invizimals","PSP",2009,"Strategy","Sony Computer Entertainment",0.17,0.5,0,0.11,0.79,"Novarama"
"2612","Forza Horizon 2","X360",2014,"Racing","Microsoft Game Studios",0.35,0.37,0,0.06,0.78,"Sumo Digital, Playground Games"
"2613","The 7th Guest","PC",1992,"Adventure","Virgin Interactive",0.02,0.77,0,0,0.78,"Trilobyte"
"2614","WWE 2K15","PS3",2014,"Sports","Take-Two Interactive",0.36,0.29,0,0.13,0.78,"Yuke's"
"2615","Too Human","X360",2008,"Role-Playing","Microsoft Game Studios",0.38,0.29,0.03,0.08,0.78,"Silicon Knights"
"2617","Tiger Woods PGA Tour 10","PS3",2009,"Sports","Electronic Arts",0.42,0.25,0,0.11,0.78,"EA Tiburon"
"2618","Secret Agent Barbie: Royal Jewels Mission","GBA",2002,"Platform","Vivendi Games",0.56,0.21,0,0.01,0.78,"Digital Illusions"
"2620","Tom Clancy's Splinter Cell: Double Agent","X360",2006,"Action","Ubisoft",0.67,0.04,0.01,0.06,0.78,"Ubisoft Shanghai"
"2622","Naruto Shippuden: Ultimate Ninja Storm 2","X360",2010,"Fighting","Namco Bandai Games",0.43,0.27,0.01,0.07,0.78,"CyberConnect2"
"2623","Golden Sun: Dark Dawn","DS",2010,"Role-Playing","Nintendo",0.51,0.09,0.13,0.05,0.78,"Camelot Software Planning"
"2624","Fight Night Champion","X360",2011,"Fighting","Electronic Arts",0.4,0.31,0,0.07,0.78,"EA Canada"
"2626","Dead Island: Riptide","X360",2013,"Action","Deep Silver",0.44,0.26,0.01,0.07,0.78,"Techland"
"2627","Madden NFL 16","PS3",2015,"Sports","Electronic Arts",0.57,0.06,0,0.14,0.78,"EA Sports"
"2629","Star Wars The Clone Wars: Jedi Alliance","DS",2008,"Action","LucasArts",0.61,0.11,0,0.06,0.78,"LucasArts"
"2630","The World Ends With You","DS",2007,"Role-Playing","Square Enix",0.49,0.04,0.21,0.04,0.78,"Jupiter Corporation"
"2631","Drawn to Life","DS",2007,"Action","THQ",0.71,0.01,0,0.06,0.78,"5TH Cell"
"2632","Sid Meier's Civilization Revolution","PS3",2008,"Strategy","Take-Two Interactive",0.49,0.19,0.01,0.09,0.78,"Firaxis Games"
"2633","NBA 2K7","PS2",2006,"Sports","Take-Two Interactive",0.65,0.02,0,0.11,0.78,"Kush Games, Visual Concepts"
"2636","James Bond 007: Nightfire","GC",2002,"Shooter","Electronic Arts",0.6,0.16,0,0.02,0.78,"Eurocom Entertainment Software"
"2638","Goldeneye 007: Reloaded","PS3",2011,"Shooter","Activision",0.33,0.33,0,0.12,0.78,"Eurocom Entertainment Software"
"2640","Rayman Origins","X360",2011,"Platform","Ubisoft",0.38,0.32,0,0.08,0.78,"UBlart Montpellier"
"2642","Aliens: Colonial Marines","X360",2013,"Shooter","Sega",0.36,0.34,0,0.07,0.77,"Gearbox Software"
"2643","Lips","X360",2008,"Misc","Microsoft Game Studios",0.12,0.56,0,0.1,0.77,"iNiS"
"2647","MadWorld","Wii",2009,"Action","Sega",0.45,0.23,0.02,0.07,0.77,"PlatinumGames"
"2648","Need for Speed: ProStreet","PSP",2008,"Racing","Electronic Arts",0.24,0.33,0.01,0.19,0.77,"EA Games"
"2649","Perfect Dark Zero","X360",2005,"Shooter","Microsoft Game Studios",0.66,0.02,0.03,0.06,0.77,"Rare Ltd."
"2650","Marvel Nemesis: Rise of the Imperfects","PS2",2005,"Fighting","Electronic Arts",0.64,0.02,0,0.1,0.77,"EA Canada, Nihilistic"
"2652","Need for Speed: Porsche Unleashed","PS",1999,"Racing","Electronic Arts",0.43,0.29,0,0.05,0.77,"Eden Studios"
"2653","ABBA: You Can Dance","Wii",2011,"Misc","Ubisoft",0.18,0.49,0,0.1,0.77,"Ubisoft"
"2655","Resident Evil: Operation Raccoon City","X360",2012,"Action","Capcom",0.55,0.14,0.03,0.06,0.77,"Slant Six"
"2656","UFC Personal Trainer: The Ultimate Fitness System","X360",2011,"Sports","THQ",0.53,0.18,0,0.06,0.77,"THQ"
"2658","Worms: Open Warfare","PSP",2006,"Strategy","THQ",0.11,0.43,0,0.23,0.77,"Team 17"
"2659","Puzzler World","DS",2009,"Puzzle","Ubisoft",0.41,0.3,0,0.07,0.77,"Ubisoft"
"2662","Star Wars Episode II: Attack of the Clones","GBA",2002,"Action","THQ",0.55,0.2,0,0.01,0.77,"David A. Palmer Productions"
"2663","Ghost Squad","Wii",2007,"Shooter","Sega",0.42,0.21,0.08,0.07,0.77,"Artificial Mind and Movement, Polygon Magic"
"2665","Maximo: Ghosts to Glory","PS2",2001,"Platform","Capcom",0.38,0.29,0,0.1,0.77,"Capcom"
"2666","Donkey Kong Country 3","GBA",2005,"Platform","Nintendo",0.45,0.17,0.14,0.01,0.77,"Rare Ltd."
"2667","All-Star Baseball 2003","PS2",2002,"Sports","Acclaim Entertainment",0.38,0.29,0,0.1,0.77,"Acclaim Studios Austin"
"2668","Unlimited Saga","PS2",2002,"Role-Playing","Atari",0.1,0.08,0.56,0.03,0.77,"SquareSoft"
"2669","Pokemon Dash","DS",2004,"Racing","Nintendo",0.21,0.14,0.38,0.04,0.77,"Ambrella"
"2670","Dragon Ball: Raging Blast","PS3",2009,"Fighting","Namco Bandai Games",0.37,0.19,0.11,0.1,0.77,"Spike"
"2671","Twisted Metal: Head On","PSP",2005,"Action","Sony Computer Entertainment",0.71,0,0,0.06,0.77,"Incognito Inc."
"2672","Personal Trainer: Walking","DS",2008,"Sports","Nintendo",0.21,0.32,0.17,0.07,0.76,"Nintendo"
"2673","Sonic Unleashed","PS2",2008,"Platform","Sega",0.37,0.04,0,0.36,0.76,"Sonic Team"
"2674","Cabela's Deer Hunt: 2004 Season","PS2",2003,"Sports","Activision Value",0.37,0.29,0,0.1,0.76,"Sand Grain Studios"
"2676","Tetris Party Deluxe","DS",2010,"Puzzle","Nintendo",0.28,0.3,0.12,0.07,0.76,"Tetris Online, Inc"
"2679","My Baby Girl","DS",2008,"Simulation","Nobilis",0.61,0.09,0,0.06,0.76,"Dancing Dots"
"2680","Driv3r","XB",2004,"Racing","Atari",0.36,0.38,0,0.03,0.76,"Reflections Interactive"
"2685","ISS Pro Evolution","PS",1998,"Sports","Konami Digital Entertainment",0,0,0.71,0.05,0.76,"KCET"
"2686","Need For Speed: Undercover","PSP",2008,"Racing","Electronic Arts",0.23,0.31,0.03,0.19,0.76,"Piranha Games"
"2687","Metroid Prime Hunters","DS",2006,"Shooter","Nintendo",0.57,0.04,0.11,0.06,0.76,"Nintendo"
"2688","Bayonetta 2","WiiU",2014,"Action","Nintendo",0.32,0.28,0.1,0.06,0.76,"PlatinumGames"
"2689","Star Wars Battlefront: Elite Squadron","PSP",2009,"Shooter","LucasArts",0.38,0.23,0,0.15,0.76,"Savage Entertainment"
"2696","Syphon Filter: The Omega Strain","PS2",2004,"Shooter","Sony Computer Entertainment",0.37,0.29,0,0.1,0.76,"Sony Bend"
"2697","FIFA Soccer 11","PS2",2010,"Sports","Electronic Arts",0.11,0.29,0,0.36,0.76,"EA Sports"
"2698","The Sims 3","3DS",2011,"Simulation","Electronic Arts",0.3,0.37,0.03,0.07,0.76,"EA Games"
"2699","Mortal Kombat: Deception","XB",2004,"Fighting","Midway Games",0.61,0.12,0,0.03,0.76,"Midway"
"2700","That's So Raven","GBA",2004,"Adventure","Disney Interactive Studios",0.54,0.2,0,0.01,0.76,"Vicarious Visions"
"2701","DJ Hero","Wii",2009,"Misc","Activision",0.45,0.23,0,0.07,0.76,"Exient Entertainment"
"2704","Portal 2","PC",2011,"Shooter","Valve Software",0.33,0.32,0,0.1,0.76,"Valve Software"
"2705","Duke Nukem Forever","PS3",2011,"Shooter","Take-Two Interactive",0.33,0.31,0,0.12,0.76,"Gearbox Software, 3D Realms"
"2706","Star Wars: The Force Unleashed II","Wii",2010,"Action","LucasArts",0.52,0.18,0,0.06,0.76,"LucasArts, Red Fly Studio"
"2713","Harry Potter and the Half-Blood Prince","Wii",2009,"Action","Electronic Arts",0.28,0.39,0,0.08,0.75,"EA Bright Light"
"2714","Wall-E","PS2",2008,"Platform","THQ",0.21,0,0,0.54,0.75,"Asobo Studio"
"2715","Professor Layton and the Azran Legacy","3DS",2013,"Puzzle","Nintendo",0,0.48,0.25,0.03,0.75,"Level 5"
"2717","Mega Man X5","PS",2000,"Platform","Capcom",0.3,0.21,0.2,0.05,0.75,"Capcom"
"2719","Titanfall 2","PS4",2016,"Shooter","Electronic Arts",0.34,0.25,0.05,0.12,0.75,"Respawn Entertainment"
"2720","Genji: Days of the Blade","PS3",2006,"Action","Sony Computer Entertainment",0.18,0.37,0.06,0.14,0.75,"Game Republic"
"2721","Metal Gear Solid V: The Phantom Pain","XOne",2015,"Action","Konami Digital Entertainment",0.41,0.26,0.01,0.07,0.75,"Kojima Productions, Moby Dick Studio"
"2722","Rockstar Games presents Table Tennis","X360",2006,"Sports","Take-Two Interactive",0.28,0.38,0,0.08,0.75,"Rockstar San Diego"
"2723","Drawn to Life: The Next Chapter","Wii",2009,"Puzzle","THQ",0.28,0.39,0,0.08,0.75,"Planet Moon Studios"
"2724","PokePark 2: Wonders Beyond","Wii",2011,"Action","Nintendo",0.26,0.19,0.27,0.04,0.75,"Creatures Inc."
"2725","DJ Hero 2","PS3",2010,"Misc","Activision",0.47,0.19,0,0.1,0.75,"FreeStyleGames"
"2726","WWE SmackDown vs. Raw 2009","PSP",2008,"Fighting","THQ",0.41,0.2,0,0.14,0.75,"Yuke's"
"2727","LEGO Batman 2: DC Super Heroes","3DS",2012,"Action","Warner Bros. Interactive Entertainment",0.41,0.28,0,0.06,0.75,"TT Games"
"2728","SoulCalibur V","PS3",2012,"Fighting","Namco Bandai Games",0.35,0.23,0.07,0.09,0.75,"Project Soul"
"2729","Shark Tale","PS2",2004,"Action","Activision",0.37,0.29,0,0.1,0.75,"Edge of Reality"
"2731","Zone of the Enders","PS2",2001,"Shooter","Konami Digital Entertainment",0.3,0.24,0.13,0.08,0.75,"KCEJ"
"2734","Deer Drive","Wii",2009,"Sports","Big Ben Interactive",0.66,0.04,0,0.05,0.75,"Kouyousha"
"2735","Pro Evolution Soccer 2015","PS4",2014,"Sports","Konami Digital Entertainment",0.09,0.45,0.11,0.1,0.75,"Konami"
"2736","Tony Hawk's Underground 2","XB",2004,"Sports","Activision",0.48,0.24,0,0.03,0.75,"Neversoft Entertainment"
"2737","Madden NFL 06","PSP",2005,"Sports","Electronic Arts",0.69,0,0,0.06,0.75,"EA Tiburon"
"2739","Raving Rabbids: Travel in Time","Wii",2010,"Adventure","Ubisoft",0.21,0.46,0,0.08,0.75,"Ubisoft"
"2740","Capcom vs. SNK 2: Mark of the Millennium 2001","PS2",2001,"Fighting","Capcom",0.22,0.17,0.3,0.06,0.75,"Capcom"
"2741","MVP 06 NCAA Baseball","PS2",2006,"Sports","Electronic Arts",0.62,0.02,0,0.1,0.75,"EA Canada"
"2742","Turok","X360",2008,"Action","Touchstone",0.46,0.2,0.01,0.07,0.75,"Propaganda Games"
"2744","Coded Arms","PSP",2005,"Shooter","Konami Digital Entertainment",0.28,0.29,0,0.17,0.75,"Konami"
"2745","Final Fantasy Tactics A2: Grimoire of the Rift","DS",2007,"Role-Playing","Square Enix",0.38,0.03,0.3,0.04,0.75,"Square Enix"
"2748","The Lord of the Rings: Conquest","PS3",2009,"Action","Electronic Arts",0.38,0.25,0,0.11,0.74,"Pandemic Studios"
"2749","Band Hero","PS3",2009,"Misc","Activision",0.41,0.23,0,0.11,0.74,"Neversoft Entertainment"
"2750","Burnout","PS2",2001,"Racing","Acclaim Entertainment",0.36,0.28,0,0.1,0.74,"Criterion Games"
"2751","Spectrobes","DS",2007,"Role-Playing","Disney Interactive Studios",0.66,0.02,0,0.06,0.74,"Jupiter Corporation"
"2754","The Godfather II","PS3",2009,"Action","Electronic Arts",0.41,0.21,0.01,0.1,0.74,"EA Redwood Shores"
"2755","Mortal Kombat: Unchained","PSP",2006,"Fighting","Midway Games",0.67,0.01,0,0.06,0.74,"JGI Entertainment"
"2756","Need for Speed: Shift","PSP",2009,"Racing","Electronic Arts",0.16,0.37,0.01,0.21,0.74,"EA Bright Light"
"2757","Dark Souls II","X360",2014,"Role-Playing","Namco Bandai Games",0.48,0.18,0.01,0.07,0.74,"From Software"
"2758","Sega Superstars Tennis","DS",2008,"Sports","Sega",0.29,0.37,0,0.08,0.74,"Sumo Digital"
"2759","Assassin's Creed: Revelations","PC",2011,"Action","Ubisoft",0.14,0.48,0,0.12,0.74,"Ubisoft Montreal"
"2761","[Prototype 2]","PS3",2012,"Action","Activision",0.36,0.28,0,0.1,0.74,"Radical Entertainment"
"2762","Midnight Club 3: DUB Edition","XB",2005,"Racing","Take-Two Interactive",0.61,0.1,0,0.03,0.74,"Rockstar San Diego"
"2763","Resident Evil: Revelations","PS3",2013,"Action","Capcom",0.14,0.29,0.22,0.09,0.74,"Capcom"
"2764","Tom Clancy's Rainbow Six: Vegas","PSP",2007,"Shooter","Ubisoft",0.42,0.19,0,0.13,0.74,"Ubisoft Montreal"
"2766","Tiger Woods PGA Tour 2001","PS2",2001,"Sports","Electronic Arts",0.36,0.28,0,0.09,0.74,"Stormfront Studios"
"2768","Red Faction: Guerrilla","PS3",2009,"Shooter","THQ",0.33,0.27,0.02,0.12,0.74,"Volition Inc."
"2771","Ace Combat: Assault Horizon","PS3",2011,"Action","Namco Bandai Games",0.3,0.15,0.22,0.07,0.74,"Project Aces"
"2773","Unreal Championship","XB",2002,"Shooter","Atari",0.59,0.12,0,0.03,0.74,"Digital Extremes"
"2775","Lego Batman 3: Beyond Gotham","PS3",2014,"Action","Warner Bros. Interactive Entertainment",0.33,0.28,0,0.12,0.74,"TT Games"
"2776","Crysis 2","PC",2011,"Action","Electronic Arts",0.16,0.45,0,0.13,0.74,"Crytek"
"2777","Tales of Vesperia","X360",2008,"Role-Playing","Atari",0.32,0.17,0.19,0.05,0.74,"Bandai Namco Games"
"2778","MLB 13: The Show","PS3",2013,"Sports","Sony Computer Entertainment",0.67,0,0,0.07,0.74,"SCEA San Diego Studios"
"2779","LEGO Marvel Super Heroes","WiiU",2013,"Action","Warner Bros. Interactive Entertainment",0.31,0.35,0.02,0.06,0.74,"TT Games"
"2780","Namco Museum Remix","Wii",2007,"Misc","Atari",0.68,0,0,0.05,0.74,"TOSE"
"2781","NBA 2K16","PS3",2015,"Sports","Take-Two Interactive",0.45,0.12,0.03,0.13,0.74,"Visual Concepts"
"2782","Sword of Mana","GBA",2003,"Role-Playing","Nintendo",0.31,0.11,0.3,0.02,0.74,"Brownie Brown"
"2783","FIFA 17","PS3",2016,"Sports","Electronic Arts",0.05,0.55,0.03,0.1,0.73,"EA Sports, EA Vancouver"
"2784","Marvel: Ultimate Alliance 2","PS3",2009,"Role-Playing","Activision",0.49,0.15,0,0.09,0.73,"Vicarious Visions"
"2785","Dragon Age: Inquisition","PC",2014,"Role-Playing","Electronic Arts",0.33,0.34,0,0.06,0.73,"BioWare"
"2786","Resonance of Fate","PS3",2010,"Role-Playing","Sega",0.2,0.21,0.24,0.08,0.73,"Tri-Ace"
"2787","Madagascar: Escape 2 Africa","DS",2008,"Action","Activision",0.41,0.25,0,0.07,0.73,"Amaze Entertainment"
"2788","Pirates of the Caribbean: At World's End","PS3",2007,"Action","Disney Interactive Studios",0.17,0.41,0,0.15,0.73,"Eurocom Entertainment Software"
"2793","Tiger Woods PGA Tour 08","PS3",2007,"Sports","Electronic Arts",0.22,0.37,0,0.14,0.73,"EA Salt Lake"
"2794","Classic NES Series: Donkey Kong","GBA",2004,"Platform","Nintendo",0.4,0.15,0.17,0.01,0.73,"Nintendo"
"2795","Harvest Moon: Animal Parade","Wii",2008,"Simulation","Rising Star Games",0.58,0.08,0.02,0.05,0.73,"Natsume"
"2799","WWE SmackDown vs. Raw 2010","Wii",2009,"Fighting","THQ",0.49,0.17,0,0.06,0.73,"Yuke's"
"2800","Style Savvy: Trendsetters","3DS",2012,"Simulation","Nintendo",0.16,0.02,0.53,0.01,0.73,"syn Sophia"
"2802","Final Fantasy XIII-2","X360",2011,"Role-Playing","Square Enix",0.36,0.29,0.02,0.06,0.73,"Square Enix"
"2804","Oddworld: Munch's Oddysee","XB",2001,"Platform","Atari",0.54,0.16,0,0.03,0.73,"Oddworld Inhabitants"
"2805","Persona 4: Arena","PS3",2012,"Fighting","Atlus",0.3,0.11,0.24,0.07,0.73,"Arc System Works"
"2807","Brink","PS3",2011,"Shooter","Bethesda Softworks",0.29,0.32,0.01,0.12,0.73,"Splash Damage"
"2808","NHL 11","X360",2010,"Sports","Electronic Arts",0.61,0.07,0,0.05,0.73,"Electronic Arts"
"2809","NCAA Football 07","X360",2006,"Sports","Electronic Arts",0.67,0,0,0.06,0.73,"EA Sports"
"2811","Full Spectrum Warrior","XB",2004,"Strategy","THQ",0.54,0.16,0,0.03,0.73,"Pandemic Studios"
"2812","LEGO Marvel's Avengers","PS4",2016,"Action","Warner Bros. Interactive Entertainment",0.26,0.35,0,0.12,0.73,"TT Games"
"2813","Katamari Damacy","PS2",2004,"Puzzle","Namco Bandai Games",0.47,0.02,0.17,0.08,0.73,"Namco"
"2814","Just Dance 2015","WiiU",2014,"Misc","Ubisoft",0.38,0.29,0,0.06,0.73,"Ubisoft"
"2815","Beyblade VForce: Ultimate Blader Jam","GBA",2003,"Action","Atari",0.52,0.19,0,0.01,0.73,"Takara"
"2816","LEGO Dimensions","PS4",2015,"Action","Warner Bros. Interactive Entertainment",0.24,0.37,0,0.12,0.73,"Traveller's Tales"
"2817","Naruto Shippuden: Ultimate Ninja Storm Generations","PS3",2012,"Fighting","Namco Bandai Games",0.27,0.24,0.14,0.08,0.73,"CyberConnect2, Racjin"
"2818","Shaun Palmer's Pro Snowboarder","PS2",2001,"Sports","Codemasters",0.36,0.28,0,0.09,0.73,"Dearsoft"
"2819","James Bond 007: Agent Under Fire","GC",2002,"Shooter","Electronic Arts",0.56,0.15,0,0.02,0.72,"Electronic Arts"
"2820","Harvest Moon DS: Island of Happiness","DS",2007,"Simulation","Rising Star Games",0.43,0.01,0.25,0.04,0.72,"TOSE"
"2821","Star Wars Episode III: Revenge of the Sith","GBA",2005,"Action","Ubisoft",0.52,0.19,0,0.01,0.72,"Ubisoft"
"2822","Ultimate Spider-Man","PS2",2005,"Action","Activision",0.6,0.02,0,0.1,0.72,"Treyarch"
"2823","Monopoly Streets","Wii",2010,"Misc","Electronic Arts",0.23,0.42,0,0.08,0.72,"Electronic Arts"
"2824","Imagine: Interior Designer","DS",2008,"Simulation","Ubisoft",0.34,0.31,0,0.08,0.72,"Ubisoft"
"2827","Rabbids Go Home","DS",2009,"Platform","Ubisoft",0.35,0.3,0,0.07,0.72,"Ubisoft Montpellier"
"2830","Total War: Rome II","PC",2013,"Strategy","Sega",0.12,0.53,0,0.07,0.72,"Creative Assembly"
"2831","NBA Live 08","PS2",2007,"Sports","Electronic Arts",0.59,0.02,0.01,0.1,0.72,"EA Canada"
"2832","Star Ocean: The Last Hope International","PS3",2010,"Role-Playing","Square Enix",0.28,0.15,0.22,0.07,0.72,"Square Enix, Tri-Ace"
"2833","Dead to Rights","XB",2002,"Shooter","Electronic Arts",0.53,0.17,0,0.03,0.72,"Namco"
"2834","Indiana Jones and the Staff of Kings","Wii",2009,"Action","Activision",0.36,0.29,0,0.07,0.72,"Artificial Mind and Movement"
"2835","Tiger Woods PGA Tour 07","PS2",2006,"Sports","Electronic Arts",0.6,0.02,0,0.1,0.72,"EA Redwood Shores"
"2836","My Little Pony: Pinkie Pie's Party","DS",2008,"Adventure","THQ",0.66,0,0,0.06,0.72,"THQ"
"2838","Major League Baseball 2K7","X360",2007,"Sports","Spike",0.67,0,0,0.06,0.72,"Kush Games"
"2840","Persona Q: Shadow of the Labyrinth","3DS",2014,"Role-Playing","Nippon Ichi Software",0.34,0.07,0.27,0.04,0.72,"Atlus"
"2841","MLB 14: The Show","PS4",2014,"Sports","Sony Computer Entertainment America",0.58,0,0,0.14,0.72,"SCEA San Diego Studios"
"2842","X-Men: Mutant Academy 2","PS",2001,"Fighting","Activision",0.4,0.27,0,0.05,0.72,"Paradox Development"
"2843","Kirby: Canvas Curse","DS",2005,"Platform","Nintendo",0.36,0,0.32,0.03,0.72,"HAL Labs"
"2846","Madden NFL 10","Wii",2009,"Sports","Electronic Arts",0.62,0.04,0,0.06,0.72,"EA Tiburon"
"2847","MLB 09: The Show","PS3",2009,"Sports","Sony Computer Entertainment",0.66,0,0,0.06,0.72,"SCEA San Diego Studios"
"2848","Borderlands: The Pre-Sequel","X360",2014,"Shooter","Take-Two Interactive",0.46,0.19,0.01,0.07,0.72,"2K Australia"
"2851","Super Monkey Ball Jr.","GBA",2002,"Puzzle","Atari",0.51,0.19,0,0.01,0.72,"Realism Ltd"
"2852","The Witcher 3: Wild Hunt","PC",2015,"Role-Playing","Namco Bandai Games",0.21,0.46,0,0.05,0.72,"CD Projekt Red Studio"
"2853","F1 2011","X360",2011,"Racing","Codemasters",0.11,0.5,0.01,0.09,0.72,"Codemasters"
"2854","Mobile Suit Gundam: Encounters in Space","PS2",2003,"Simulation","Namco Bandai Games",0.05,0.04,0.61,0.01,0.72,"Bandai"
"2855","MLB 10: The Show","PS3",2010,"Sports","Sony Computer Entertainment",0.66,0,0,0.06,0.72,"SCEA"
"2856","MX vs. ATV Reflex","X360",2009,"Racing","THQ",0.52,0.14,0,0.06,0.72,"Rainbow Studios"
"2857","Blur","PS3",2010,"Racing","Activision",0.22,0.36,0.02,0.12,0.72,"Bizarre Creations"
"2860","Battlefield: Bad Company 2","PC",2010,"Shooter","Electronic Arts",0.19,0.53,0,0,0.72,"EA DICE"
"2861","DiRT 3","X360",2011,"Racing","Codemasters",0.23,0.4,0.01,0.08,0.72,"Codemasters"
"2862","The Lord of the Rings: The Two Towers","XB",2002,"Action","Electronic Arts",0.45,0.24,0,0.03,0.71,"Stormfront Studios"
"2863","Madden NFL 2003","XB",2002,"Sports","Electronic Arts",0.67,0.02,0,0.03,0.71,"EA Tiburon"
"2864","Skate","X360",2007,"Sports","Electronic Arts",0.62,0.03,0,0.06,0.71,"EA Black Box"
"2865","iCarly","DS",2009,"Adventure","Activision",0.66,0.01,0,0.05,0.71,"Human Soft"
"2866","XCOM: Enemy Unknown","PC",2012,"Strategy","Take-Two Interactive",0.27,0.36,0,0.08,0.71,"Firaxis Games"
"2867","Ben 10: Protector of Earth","PSP",2007,"Action","D3Publisher",0.23,0.3,0,0.18,0.71,"High Voltage Software"
"2868","Virtua Fighter 4: Evolution","PS2",2003,"Fighting","Sega",0.35,0.27,0,0.09,0.71,"Sega"
"2869","Crysis","PC",2007,"Shooter","Electronic Arts",0,0.69,0,0.02,0.71,"Crytek"
"2870","Resident Evil: Survivor","PS",2000,"Action","Eidos Interactive",0.23,0.15,0.29,0.05,0.71,"Capcom"
"2871","The Sims 2: Castaway","DS",2007,"Simulation","Electronic Arts",0.62,0.04,0,0.06,0.71,"Full Fat"
"2872","Super Trucks Racing","PS2",2002,"Racing","Jester Interactive",0.35,0.27,0,0.09,0.71,"Jester Interactive"
"2873","Godzilla: Destroy All Monsters Melee","GC",2002,"Fighting","Atari",0.55,0.14,0,0.02,0.71,"Pipeworks Software, Inc."
"2874","Jeremy McGrath Supercross 2000","PS",2000,"Racing","Acclaim Entertainment",0.4,0.27,0,0.05,0.71,"Acclaim"
"2876","Silent Hill 3","PS2",2003,"Action","Konami Digital Entertainment",0.35,0.27,0,0.09,0.71,"KCET"
"2878","Spyro: Enter the Dragonfly","GC",2002,"Platform","Universal Interactive",0.55,0.14,0,0.02,0.71,"Equinoxe"
"2879","Scooby-Doo 2: Monsters Unleashed","GBA",2004,"Action","THQ",0.51,0.19,0,0.01,0.71,"Altron"
"2880","Power Rangers: Dino Thunder","PS2",2004,"Action","THQ",0.35,0.27,0,0.09,0.71,"Pacific Coast Power & Light"
